edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
41f20612e71cc18b7881982e,org.joda.time.DateTime,org.joda.time.MutableDateTime,CONVERTS_TO,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
8010c006a1bece5c323a510e,org.joda.time.DateTime,org.joda.time.Period,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
a595d581ae458bfa6186fa5f,org.joda.time.DateTime,org.joda.time.ReadableDuration,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a226d0fdb10e119aaa67554d,org.joda.time.DateTime,org.joda.time.format.DateTimeFormat,REQUIRES,0,3,bytecode_path_verified,unvalidated,"Joda 2.4 inherited toString(String pattern), only for non-null pattern: implementation calls DateTimeFormat.forPattern(pattern), then prints this instance with that formatter. Internal operation-scoped dependency, not a claim that callers must explicitly invoke DateTimeFormat."
de07399cd7a71358621d9db3,org.joda.time.DateTime,org.joda.time.format.ISODateTimeFormat,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d66bd58fbba892f3c2c505c5,org.joda.time.DateTime.Property,org.joda.time.DateTime,CREATES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
cd856fd65c8acf62f572b3ea,org.joda.time.DateTime.Property,org.joda.time.DateTime,NESTED_IN,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
976fed475c8fce8544e9becd,org.joda.time.DateTime.Property,org.joda.time.DateTime,RETURNS,0,14,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
9bbba450d8ee5c797869cdfc,org.joda.time.DateTime.Property,org.joda.time.MutableDateTime,ALTERNATIVE_TO,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
02f6cd08c3ef69276a9324df,org.joda.time.DateTimeUtils,org.joda.time.Chronology,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
fa24d306764ddbc23055039b,org.joda.time.DateTimeUtils,org.joda.time.Chronology,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
7437b367ed34f12c6a5fc625,org.joda.time.DateTimeUtils,org.joda.time.Chronology,RETURNS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
53e1b57d7f79a3818532934e,org.joda.time.DateTimeUtils,org.joda.time.JodaTimePermission,REQUIRES,0,5,bytecode_path_verified,unvalidated,"In Joda 2.4, setCurrentMillisSystem/Fixed/Offset/Provider require the CurrentTime.setProvider JodaTimePermission when a SecurityManager is installed. No permission check when getSecurityManager() is null. This is an internal permission requirement, not a caller-supplied method parameter."
29db9cb9c891ad9af3b85e5a,org.joda.time.DateTimeUtils,org.joda.time.PeriodType,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
994779add75d963ffa84a71d,org.joda.time.DateTimeUtils,org.joda.time.PeriodType,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
05b59b9591d9602dbb7c9c66,org.joda.time.DateTimeUtils,org.joda.time.PeriodType,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
10f28865f7c770826c5dfd3e,org.joda.time.DateTimeUtils,org.joda.time.ReadableDuration,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
548a207a18a0a483896c55b4,org.joda.time.DateTimeUtils,org.joda.time.ReadableDuration,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
ff939ef2223025c877fdd3e7,org.joda.time.DateTimeUtils,org.joda.time.ReadableInstant,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
069a7cce7437bdc273440a96,org.joda.time.DateTimeUtils,org.joda.time.ReadableInstant,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
1f9dd7098ef3e8b68d3d65cc,org.joda.time.DateTimeUtils,org.joda.time.chrono.ISOChronology,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
a16a80395d1ad02a2dbbf59c,org.joda.time.Duration,org.joda.time.Instant,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
b3b1c6a2faa485ecf3aba727,org.joda.time.Duration,org.joda.time.Period,ALTERNATIVE_TO,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
2e13433e09216d706ccf9ea5,org.joda.time.Duration,org.joda.time.ReadableDuration,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a8b6825e39eec780133d2b7f,org.joda.time.Duration,org.joda.time.ReadableDuration,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
0d81535c245a1ffe78123d44,org.joda.time.Duration,org.joda.time.ReadableDuration,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
dee276af37db46b26f156b31,org.joda.time.Duration,org.joda.time.ReadableInstant,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
e3477c28d0118493294c3087,org.joda.time.Duration,org.joda.time.ReadableInstant,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
f60a317f21578412bcd82824,org.joda.time.Instant,org.joda.time.Chronology,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3cabcd3b1264ddf4501670ea,org.joda.time.Instant,org.joda.time.DateTime,CONVERTS_TO,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
61ba20517ff919e08cdc51ce,org.joda.time.Instant,org.joda.time.DateTime,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
7f5d4d8e2ceedfcbb5adaaf5,org.joda.time.Instant,org.joda.time.MutableDateTime,CONVERTS_TO,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
07357f2a224804c119bf9e89,org.joda.time.Instant,org.joda.time.MutableDateTime,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
8041136b23003739898a0814,org.joda.time.Instant,org.joda.time.ReadableDuration,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
abbf31b766d0604a5ad9e2af,org.joda.time.Instant,org.joda.time.ReadableDuration,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d161a4d39a35ffb8b31382fb,org.joda.time.Instant,org.joda.time.ReadableInstant,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
66cebfcff1474c98183e1016,org.joda.time.Instant,org.joda.time.chrono.ISOChronology,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
f27174150fc7abd6340d838b,org.joda.time.Instant,org.joda.time.format.ISODateTimeFormat,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
a96978366e44c72c5db71686,org.joda.time.Interval,org.joda.time.Chronology,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
161a94da57abac7876696641,org.joda.time.Interval,org.joda.time.Chronology,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
f5249583918372bedb73fad2,org.joda.time.Interval,org.joda.time.ReadableDuration,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0713b667d10b48456afd8ef2,org.joda.time.Interval,org.joda.time.ReadableDuration,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d7b03940808dbc965cb53ac9,org.joda.time.Interval,org.joda.time.ReadableInstant,ACCEPTS,0,7,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
6da341661a197b9b9c4e3881,org.joda.time.Interval,org.joda.time.ReadableInstant,REQUIRES,0,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
cf52d9580b8b390dfb5d8105,org.joda.time.Interval,org.joda.time.format.ISODateTimeFormat,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
b80243e4ce2c38a1bd3e45f6,org.joda.time.MutableDateTime,org.joda.time.Chronology,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3adc33983d52f0e0a92a849b,org.joda.time.MutableDateTime,org.joda.time.Chronology,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
46f493fcb94b2ca075b9bd6a,org.joda.time.MutableDateTime,org.joda.time.DateTime,CONVERTS_TO,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
670606ee173084493893f728,org.joda.time.MutableDateTime,org.joda.time.ReadableDuration,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
ced84a12522feae957e0c217,org.joda.time.MutableDateTime,org.joda.time.ReadableDuration,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
787d85baefe4b43837e6bf48,org.joda.time.MutableDateTime,org.joda.time.ReadableInstant,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
83c564a8eeaf132e4e6e0df5,org.joda.time.MutableDateTime,org.joda.time.ReadableInstant,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
9a33237b8d0f50f81f439cca,org.joda.time.MutableDateTime,org.joda.time.format.DateTimeFormat,REQUIRES,0,3,bytecode_path_verified,unvalidated,"Joda 2.4 inherited toString(String pattern), only for non-null pattern: implementation calls DateTimeFormat.forPattern(pattern), then prints this instance with that formatter. Internal operation-scoped dependency, not a claim that callers must explicitly invoke DateTimeFormat."
4b82d30c8a768b1bc102b812,org.joda.time.MutableDateTime,org.joda.time.format.ISODateTimeFormat,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
bcfedb4f0e34e6cd1a3dfe0a,org.joda.time.Period,org.joda.time.Chronology,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
95200fa7bf044f0c82889be8,org.joda.time.Period,org.joda.time.Duration,CONVERTS_TO,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
5a37a95ce516cc841cae13dd,org.joda.time.Period,org.joda.time.Duration,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3a2598517302c8d063368f97,org.joda.time.Period,org.joda.time.PeriodType,ACCEPTS,0,13,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
4904ce21bfbec0f567fde83c,org.joda.time.Period,org.joda.time.ReadableDuration,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
cf6ca2bc032e58be41cf38b0,org.joda.time.Period,org.joda.time.ReadableInstant,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
23d8768d33b5540597eb2852,org.joda.time.Period,org.joda.time.ReadableInstant,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
a13173978027f513285b79ff,org.joda.time.PeriodType,org.joda.time.Period,CONFIGURES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
324c8c0cf8f441d2fe680ba2,org.joda.time.ReadableDuration,org.joda.time.Duration,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a8973b583685336025145c08,org.joda.time.ReadableDuration,org.joda.time.Period,CONVERTS_TO,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
113cd82eb7714c9bd1bbba1b,org.joda.time.ReadableDuration,org.joda.time.Period,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
e3dfa69c2b8a7d4954ce74ee,org.joda.time.ReadableInstant,org.joda.time.Chronology,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
34c99318b8388381d7657b8b,org.joda.time.ReadableInstant,org.joda.time.Instant,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
d617427cad2c9f2f82b3dd12,org.joda.time.chrono.ISOChronology,org.joda.time.Chronology,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
