edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
6697107b1c631173aa3c40ba,org.jivesoftware.smack.Chat,org.jivesoftware.smack.PacketCollector,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
c7be57e8dc77f1349158e3a0,org.jivesoftware.smackx.Form,org.jivesoftware.smackx.FormField,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
b7036f6e0c182886c31999e4,org.jivesoftware.smackx.Form,org.jivesoftware.smackx.FormField,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
b1c3dfc87e4c0f1d7d9d799a,org.jivesoftware.smackx.Form,org.jivesoftware.smackx.FormField,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
00834f6bb8956a40b77ca78d,org.jivesoftware.smackx.MessageEventManager,org.jivesoftware.smack.Connection,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
391464db327ca05642ed7c24,org.jivesoftware.smackx.MessageEventManager,org.jivesoftware.smack.Connection,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
2088734670aabf94ce546a14,org.jivesoftware.smackx.MessageEventManager,org.jivesoftware.smackx.MessageEventRequestListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
5dbdcbd36b40f578eba63b19,org.jivesoftware.smackx.MessageEventManager,org.jivesoftware.smackx.MessageEventRequestListener,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
bdec32c24885d0cf8b247c5d,org.jivesoftware.smackx.MessageEventRequestListener,org.jivesoftware.smackx.MessageEventManager,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
412a3bdcafeb5d72b7dddae5,org.jivesoftware.smackx.NodeInformationProvider,org.jivesoftware.smackx.ServiceDiscoveryManager,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
5777ea71104c5c6c9f01ff41,org.jivesoftware.smackx.NodeInformationProvider,org.jivesoftware.smackx.ServiceDiscoveryManager,CONFIGURES,0,1,agent_source_reviewed_not_human_verified,unvalidated,A registered NodeInformationProvider supplies node information used by ServiceDiscoveryManager to answer discovery requests for that node.
2f6e6b8b1dcac505ea2ec186,org.jivesoftware.smackx.RosterExchangeListener,org.jivesoftware.smackx.RosterExchangeManager,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
33cb90dafe91e578193b3d5a,org.jivesoftware.smackx.RosterExchangeManager,org.jivesoftware.smack.Connection,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
fb8170e991324cc749d69095,org.jivesoftware.smackx.RosterExchangeManager,org.jivesoftware.smack.Roster,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
9aff419d137800f18ff4a5dd,org.jivesoftware.smackx.RosterExchangeManager,org.jivesoftware.smack.Roster,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d25cc176389cda5edb37ec4b,org.jivesoftware.smackx.RosterExchangeManager,org.jivesoftware.smackx.RosterExchangeListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
4df4b8fb79ed70e3abf8ea9e,org.jivesoftware.smackx.ServiceDiscoveryManager,org.jivesoftware.smack.Connection,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
781f601c25c3f36ed6ee55f6,org.jivesoftware.smackx.ServiceDiscoveryManager,org.jivesoftware.smackx.NodeInformationProvider,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
e7230d6f3fef0091f8499a84,org.jivesoftware.smackx.XHTMLManager,org.jivesoftware.smack.Connection,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
75b48de443d93f629c780ce7,org.jivesoftware.smackx.XHTMLManager,org.jivesoftware.smack.Connection,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
1a21643d49c46aa406df73e3,org.jivesoftware.smackx.XHTMLManager,org.jivesoftware.smackx.XHTMLText,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
e0d367a4275dabf699689c01,org.jivesoftware.smackx.filetransfer.FileTransferListener,org.jivesoftware.smackx.filetransfer.FileTransferManager,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
02d638f668b381e9e87c4b34,org.jivesoftware.smackx.filetransfer.FileTransferListener,org.jivesoftware.smackx.filetransfer.FileTransferRequest,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
5450394cb2a6e985f3aedca6,org.jivesoftware.smackx.filetransfer.FileTransferListener,org.jivesoftware.smackx.filetransfer.FileTransferRequest,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
5ba1acc57605f71e410dbf45,org.jivesoftware.smackx.filetransfer.FileTransferManager,org.jivesoftware.smack.Connection,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
c22ae87804d771c12857af60,org.jivesoftware.smackx.filetransfer.FileTransferManager,org.jivesoftware.smack.Connection,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
977e988a41853308b63da425,org.jivesoftware.smackx.filetransfer.FileTransferManager,org.jivesoftware.smackx.filetransfer.FileTransferListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
646c2b196f2a05d2c7efb7c3,org.jivesoftware.smackx.filetransfer.FileTransferManager,org.jivesoftware.smackx.filetransfer.OutgoingFileTransfer,CREATES,0,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
388edc7a616a65bbd5db2002,org.jivesoftware.smackx.filetransfer.FileTransferManager,org.jivesoftware.smackx.filetransfer.OutgoingFileTransfer,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
6e51050a4bb350efe350e112,org.jivesoftware.smackx.filetransfer.FileTransferRequest,org.jivesoftware.smackx.filetransfer.FileTransferManager,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
d4c331f1aeb8947a048dd5fd,org.jivesoftware.smackx.filetransfer.FileTransferRequest,org.jivesoftware.smackx.filetransfer.IncomingFileTransfer,CREATES,0,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
ba075252990f78c1276877da,org.jivesoftware.smackx.filetransfer.FileTransferRequest,org.jivesoftware.smackx.filetransfer.IncomingFileTransfer,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
817713f98285452ddd8d9f74,org.jivesoftware.smackx.filetransfer.IncomingFileTransfer,org.jivesoftware.smackx.filetransfer.FileTransfer,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3e78812ff495b54a945a5db5,org.jivesoftware.smackx.filetransfer.OutgoingFileTransfer,org.jivesoftware.smackx.filetransfer.FileTransfer,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
948c0c8428164fbeda858fe5,org.jivesoftware.smackx.muc.DefaultParticipantStatusListener,org.jivesoftware.smackx.muc.MultiUserChat,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
51355ec229bd31d66189ca4b,org.jivesoftware.smackx.muc.DefaultParticipantStatusListener,org.jivesoftware.smackx.muc.ParticipantStatusListener,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
d6900748b445b4ba7d10327d,org.jivesoftware.smackx.muc.InvitationListener,org.jivesoftware.smack.Connection,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
2720e0df5c2f8626e8306d97,org.jivesoftware.smackx.muc.InvitationListener,org.jivesoftware.smackx.muc.MultiUserChat,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
a313c38aeaf7758e435c7333,org.jivesoftware.smackx.muc.InvitationRejectionListener,org.jivesoftware.smackx.muc.MultiUserChat,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
da3a2fca72f007060f417f06,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smack.Chat,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
03ebb3c3b6afb72ba6273764,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smack.Connection,ACCEPTS,0,9,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
f8c67aae06e4316c21ea5f26,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smack.PacketListener,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
70c43186266602b5a2c88e5b,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.Form,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
427b53f7ec7d6767e2a4fb60,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.Form,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d92a05381472c983478d5f1d,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.Form,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a3e00717f5424ca866f519a7,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.InvitationListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
772903e15a7a3cf0938f3be6,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.InvitationRejectionListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
f75671682847fccd2ef61e57,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.ParticipantStatusListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3afb0e29be3ef585f545d881,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.ParticipantStatusListener,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
09523a0d44d9d545cad2cc1b,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.SubjectUpdatedListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
79f1465c244448aebadb3ef1,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.SubjectUpdatedListener,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
00367c27d1084398370f8502,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.UserStatusListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
737b9a6814cea3aca5a1f56b,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.UserStatusListener,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
153fdac8b23a72e62a8b7bef,org.jivesoftware.smackx.muc.ParticipantStatusListener,org.jivesoftware.smackx.muc.MultiUserChat,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d051603ee3059ff766ca0254,org.jivesoftware.smackx.muc.ParticipantStatusListener,org.jivesoftware.smackx.muc.UserStatusListener,ALTERNATIVE_TO,1,4,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
66f05d2bdeeca6fecf2aa410,org.jivesoftware.smackx.muc.UserStatusListener,org.jivesoftware.smackx.muc.MultiUserChat,REQUIRES,0,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
4030cf7c26c18144ec15ffbb,org.jivesoftware.smackx.pubsub.LeafNode,org.jivesoftware.smackx.pubsub.Node,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
d594b9fe7041079d7ecd72cd,org.jivesoftware.smackx.pubsub.Node,org.jivesoftware.smackx.Form,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
6277a076db1d1c8f5fe10165,org.jivesoftware.smackx.pubsub.PubSubManager,org.jivesoftware.smack.Connection,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
e6fb6040fd3f9981f724a875,org.jivesoftware.smackx.pubsub.PubSubManager,org.jivesoftware.smackx.Form,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
4dba172d46d2bb7d64203882,org.jivesoftware.smackx.pubsub.PubSubManager,org.jivesoftware.smackx.pubsub.LeafNode,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
28fed071f5b29ebbed997ee2,org.jivesoftware.smackx.pubsub.PubSubManager,org.jivesoftware.smackx.pubsub.Node,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
